"anon_id","attempt","consent","age","year","gender","int","first_language","academic_exp","eng_level","ethnicity","f_edu","m_edu","p_relation","financial","program","pell_grant","minutes","hours","transfer","first_gen","exam1","exam2","exam3","exam4","exam5","final_exam","prep_p_raw","extra_credit","e_correct","p_p_final","exam_total","final_grade","opt_in","views1","p_tot1","views2","p_tot2","views3","p_tot3","views4","p_tot4","views5","p_tot5"
261401294,1,1,21,3,2,1,0,90,5,3,4,3,3,6,3,1,"180","3",1,1,93,82.6666666666667,76.6666666666667,87.3333333333333,97,90,267.43,14.5,4.5,250,90,93.95,1,2,86.6666666666667,5,75.4545454545455,5,38,5,92,0,96.6666666666667
782811917,1,1,21,2,2,0,1,90,2,NA,4,4,3,7,NA,NA,"300","60",0,0,96,70,93.3333333333333,0,84.3333333333333,70,204.75,5,0,204.75,82.7333333333333,83.025,0,0,100,0,0,2,94,NA,NA,1,72.5
918023337,1,1,18,1,1,1,0,100,6,2,3,1,0,6,2,0,"45","10",0,1,81.5,70.6666666666667,83.6666666666667,85,81.3333333333333,84,237.25,10,0,237.25,83.1,87.05,0,1,87.0833333333333,1,47.2727272727273,0,83,0,81,1,82.5
220710261,1,1,19,2,1,1,1,100,6,8,4,4,3,5,2,2,"120","2",0,0,77.6666666666667,63.6666666666667,68.3333333333333,87.3333333333333,82.3333333333333,62,296.77,14.5,4.5,250,75.8666666666667,83.35,1,4,80,13,41.8181818181818,3,47,4,72,0,76.6666666666667
320886244,1,1,21,3,2,1,0,100,6,2,3,3,3,3,0,0,"240","10",1,1,72,82.3333333333333,92.6666666666667,91.3333333333333,89,0,261.82,10,0,250,85.4666666666667,90.1,0,7,61.6666666666667,5,74.5454545454545,5,88,4,90,1,76.6666666666667
988370189,1,1,20,3,2,1,0,95,6,5,3,4,3,5,3,0,"60","24",0,0,98.3333333333333,96,90,97.3333333333333,94.3333333333333,0,327.8,10,0,250,95.2,97.4,0,1,100,0,98.1818181818182,0,80,0,92,0,90
862679960,1,1,18,1,3,0,0,85,6,3,4,1,3,6,1,0,"60","18",0,1,79,71.3333333333333,78.3333333333333,90.3333333333333,83.6666666666667,0,262.15,10,0,250,80.5333333333333,86.4,0,0,85,0,55.4545454545455,0,37,0,86,0,80
542099290,1,1,20,3,2,1,0,97,5,8,4,5,3,7,0,0,"60","37",0,0,89,91.6666666666667,99.3333333333333,97.3333333333333,99.3333333333333,0,311.1,10,0,250,95.3333333333333,97.5,0,7,89.1666666666667,3,81.8181818181818,2,98,0,97,0,98.3333333333333
434689370,1,1,19,2,2,1,0,97,6,3,4,4,3,3,3,0,"240","40",0,0,85.3333333333333,76,86,88,83.3333333333333,86,308,10,0,250,85.7333333333333,90.3,0,10,88.3333333333333,6,49.0909090909091,5,78,2,64,1,70
699306587,1,1,19,1,2,0,1,80,4,3,4,5,3,7,2,2,"120","14",0,0,88.3333333333333,82,84.6666666666667,86,86.6666666666667,88,300.55,15,5,250,86.7333333333333,91.55,1,14,100,5,57.2727272727273,13,62,18,68,9,91.6666666666667
703520648,1,1,19,2,2,1,0,80,5,3,5,4,3,7,1,2,"60","14",0,0,0,69.6666666666667,78.6666666666667,79.3333333333333,64,82,178.99,10,0,178.99,74.7333333333333,74.949,0,NA,NA,0,60,0,66,0,68,0,60
