"time","attempt","n","totalRep","mean","sd","median","MAD"
"1","none",340,196,15.0395617454441,22.3883618605878,0,0
"2","none",367,422,15.1257776345931,15.2357744030589,14.2857142857143,21.18
"3","none",369,108,2.79566700556406,6.03482908207931,0,0
"4","none",369,239,4.51792647803103,7.58850023642528,0,0
"none","1",365,349,12.8422968829899,14.8977442004672,10,14.826
"none","2",369,453,11.8593076977983,12.1433246204566,10,14.826
"none","3",369,101,2.49619612333658,5.93819773020837,0,0
"none","4",369,62,2.50502433429263,6.6858510750851,0,0
"1","1",340,196,15.0395617454441,22.3883618605878,0,0
"2","1",312,128,14.3598646723647,22.9032614430816,0,0
"2","2",365,294,15.4977982443736,19.8345051393229,0,0
"3","1",4,0,0,0,0,0
"3","2",317,59,6.24981222773021,18.1364622952068,0,0
"3","3",368,49,1.85782514586862,6.36831144286475,0,0
"4","1",241,25,2.96186524402292,11.5217081416704,0,0
"4","2",340,100,12.3312324929972,26.4985036504312,0,0
"4","3",340,52,3.80394278923691,12.0878741232135,0,0
"4","4",369,62,2.50502433429263,6.6858510750851,0,0
