"SID","Total.Score","View.Count","pwritten","time"
921393838,127.5,1,0.75,4
919570760,130.25,1,0.702083333333333,4
920563892,135,1,0.725,4
920878008,128.5,3,0.720833333333333,4
917474059,124,0,0.716666666666667,4
920592504,77,1,0.4625,4
918030418,126.75,0,0.722916666666667,4
919988365,95,3,0.5,4
919544110,146,1,0.8,4
919706903,97.5,1,0.5,4
920014105,130,2,0.708333333333333,4
921072832,143,1,0.8,4
921504261,127.25,0,0.710416666666667,4
920495805,112,0,0.533333333333333,4
921341848,78.5,0,0.445833333333333,4
917214277,142.5,1,0.808333333333333,4
920674639,149.25,2,0.827083333333333,4
920985043,85.5,0,0.529166666666667,4
920524873,136,2,0.775,4
918106892,108.5,0,0.6375,4
920887442,141.5,2,0.766666666666667,4
919385654,133.5,0,0.7875,4
918656012,109,0,0.55,4
921000655,127.5,5,0.745833333333333,4
919832301,134,1,0.7,4
918738516,87.5,0,0.4625,4
917987070,145,2,0.791666666666667,4
918572947,145,1,0.808333333333333,4
921256292,98.75,7,0.51875,4
921328243,141.5,1,0.7625,4
919864667,86,0,0.508333333333333,4
921438764,137,1,0.783333333333333,4
921235174,124,0,0.633333333333333,4
920929339,143.5,2,0.808333333333333,4
918552365,128,0,0.733333333333333,4
919180192,97,0,0.525,4
919499142,128,3,0.75,4
918166667,142.5,1,0.8,4
918824970,136,0,0.816666666666667,4
918680305,119.5,3,0.633333333333333,4
919948172,84.5,0,0.533333333333333,4
920611003,115.5,0,0.670833333333333,4
921492506,128,1,0.691666666666667,4
919986590,116.75,3,0.597916666666667,4
918687528,124.25,0,0.68125,4
919282184,79,3,0.470833333333333,4
919928969,118,0,0.7,4
921096656,132,4,0.758333333333333,4
918752987,96,0,0.525,4
915435469,101,0,0.591666666666667,4
918546601,124.5,0,0.7125,4
919905432,113.5,2,0.641666666666667,4
921168791,148,1,0.833333333333333,4
919049974,110.5,2,0.6,4
918333429,134.5,12,0.7625,4
918467557,141.5,0,0.7875,4
921252173,105,1,0.566666666666667,4
921058432,128,2,0.695833333333333,4
919245532,64,0,0.333333333333333,4
916873842,112,0,0.725,4
919743843,119.5,0,0.6375,4
920816251,119.25,2,0.677083333333333,4
921395182,72,0,0.416666666666667,4
918061937,121,5,0.629166666666667,4
919525951,136,0,0.745833333333333,4
921094205,138.5,1,0.754166666666667,4
919565597,137.5,0,0.754166666666667,4
916070386,102.25,0,0.558333333333333,4
920023549,127,2,0.691666666666667,4
919283989,88.5,2,0.45,4
919408081,143,1,0.791666666666667,4
917986822,108.75,0,0.625,4
919508059,143,0,0.8125,4
918210092,127.25,1,0.716666666666667,4
920042229,134,0,0.725,4
918583017,141.75,2,0.775,4
921013626,92.5,1,0.483333333333333,4
919722259,106.5,0,0.583333333333333,4
918641454,125.5,0,0.720833333333333,4
919734593,114.25,0,0.597916666666667,4
919230013,139.5,2,0.808333333333333,4
919490633,138.5,1,0.775,4
919688636,134,2,0.758333333333333,4
920073243,114.25,0,0.61875,4
920798641,114,4,0.633333333333333,4
920795518,127.5,5,0.708333333333333,4
917076978,133,0,0.716666666666667,4
918245847,85,0,0.625,4
919602324,143.5,1,0.795833333333333,4
919214738,134.75,2,0.73125,4
919495159,115,2,0.666666666666667,4
920154214,138.75,0,0.76875,4
919358047,105,6,0.633333333333333,4
921476739,81,4,0.458333333333333,4
921341534,116,0,0.666666666666667,4
919151228,131.5,2,0.733333333333333,4
920985496,142.5,1,0.816666666666667,4
919454996,105.5,0,0.604166666666667,4
919544136,112.5,1,0.675,4
918453477,120.75,2,0.758333333333333,4
920852930,133.25,2,0.7375,4
919958874,85.5,1,0.458333333333333,4
917452110,128.5,3,0.745833333333333,4
919278596,136,1,0.783333333333333,4
921000435,143.75,0,0.80625,4
920648021,144,2,0.795833333333333,4
919396643,148,2,0.816666666666667,4
918456694,132.5,1,0.739583333333333,4
