"","student_id","exam","question_id","numMistakes"
"1","915435469","1","OPDEF",6
"2","915435469","2","CV",1
"3","915435469","2","H0",3
"4","915435469","2","OPDEF",2
"5","915435469","3","COMPCV",2
"6","915435469","3","CV",6
"7","915435469","3","Interpret",2
"8","915435469","4","CV",3
"9","915435469","4","REP",1
"10","916063005","1","H0",1
"11","916063005","1","H1",1
"12","916063005","1","OPDEF",3
"13","916063005","2","CV",2
"14","916063005","2","H0",3
"15","916063005","2","Interpret",1
"16","916063005","2","OPDEF",7
"17","916063005","3","COMPCV",1
"18","916063005","3","CV",4
"19","916063005","3","Interpret",2
"20","916063005","3","OPDEF",4
"21","916473734","1","H0",1
"22","916473734","1","OPDEF",3
"23","916473734","2","CV",2
"24","916473734","2","H0",3
"25","916473734","2","Interpret",2
"26","916473734","4","CV",3
"27","916473734","4","IVTHREAT",3
"28","916556606","1","H0",1
"29","916556606","1","OPDEF",3
"30","916556606","2","CV",3
"31","916556606","2","H0",3
"32","916556606","2","Interpret",1
"33","916556606","2","OPDEF",6
"34","916556606","3","COMPCV",2
"35","916556606","3","CV",2
"36","916556606","3","Interpret",2
"37","916561057","1","H0",1
"38","916561057","1","H1",1
"39","916561057","2","CV",1
"40","916561057","2","H0",3
"41","916561057","2","Interpret",1
"42","916561057","2","OPDEF",3
"43","916561057","3","Interpret",2
"44","916561057","3","OPDEF",3
"45","916561057","4","CV",3
"46","916561057","4","IVTHREAT",2
"47","916748430","1","OPDEF",1
"48","916748430","2","CV",5
"49","916748430","2","H0",3
"50","916748430","2","H1",1
"51","916748430","2","OPDEF",3
"52","916748430","3","CV",5
"53","916748430","3","Interpret",2
"54","916748430","3","OPDEF",4
"55","916748430","5","COMPCV",3
"56","916748430","5","CV",1
"57","916748430","5","Interpret",1
"58","916855734","1","OPDEF",2
"59","916855734","2","CV",1
"60","916855734","2","H0",3
"61","916855734","2","Interpret",1
"62","916855734","2","OPDEF",1
"63","916855734","3","COMPCV",1
"64","916855734","3","CV",5
"65","916855734","3","Interpret",1
"66","916873842","1","OPDEF",5
"67","916873842","2","CV",1
"68","916873842","2","H0",3
"69","916873842","2","Interpret",1
"70","916873842","2","OPDEF",2
"71","916873842","3","COMPCV",2
"72","916873842","3","CV",4
"73","916873842","3","Interpret",2
"74","916873842","4","CV",2
"75","916873842","4","IVTHREAT",1
"76","916873842","4","REP",1
"77","916873842","5","COMPCV",2
"78","916873842","5","CONFOUND",2
"79","916873842","5","CV",1
"80","916873842","5","Interpret",1
"81","916873842","5","OPDEF",1
"82","916873842","5","REP",3
"83","917029022","1","H1",1
"84","917029022","1","OPDEF",1
"85","917029022","2","CV",1
"86","917029022","2","H0",3
"87","917029022","2","OPDEF",2
"88","917029022","3","CV",2
"89","917029022","3","Interpret",1
"90","917029022","4","REP",1
"91","917065921","1","H0",2
"92","917065921","1","H1",2
"93","917065921","1","OPDEF",1
"94","917065921","2","CV",2
"95","917065921","2","H0",3
"96","917065921","2","Interpret",2
"97","917065921","2","OPDEF",6
"98","917065921","3","COMPCV",1
"99","917065921","3","CV",6
"100","917065921","3","Interpret",2
"101","917065921","3","OPDEF",4
"102","917065921","4","CV",5
"103","917065921","4","IVTHREAT",2
"104","917065921","4","REP",2
"105","917069862","1","H0",1
"106","917069862","1","OPDEF",4
"107","917069862","2","CV",8
"108","917069862","2","H0",3
"109","917069862","2","Interpret",1
"110","917069862","2","OPDEF",6
"111","917069862","3","CV",2
"112","917069862","3","Interpret",2
"113","917069862","3","OPDEF",3
"114","917337099","1","OPDEF",6
"115","917337099","2","CV",1
"116","917337099","2","H0",3
"117","917337099","2","Interpret",1
"118","917337099","2","OPDEF",5
"119","917337099","3","CV",4
"120","917337099","3","Interpret",2
"121","917337099","3","OPDEF",6
"122","917337099","4","CONFOUND",1
"123","917337099","4","CV",1
"124","917337099","4","REP",1
"125","917337099","5","CONFOUND",2
"126","917337099","5","CV",1
"127","917337099","5","Interpret",2
"128","917337099","5","REP",1
"129","917362242","1","H1",3
"130","917362242","1","OPDEF",2
"131","917362242","2","CV",1
"132","917362242","2","H0",3
"133","917362242","2","H1",2
"134","917362242","2","Interpret",1
"135","917362242","2","OPDEF",3
"136","917362242","3","Interpret",2
"137","917362242","3","OPDEF",2
"138","917362242","5","COMPCV",1
"139","917362242","5","OPDEF",1
"140","917420294","1","OPDEF",5
"141","917420294","2","CV",1
"142","917420294","2","H0",3
"143","917420294","2","OPDEF",3
"144","917420294","3","CV",4
"145","917420294","3","OPDEF",3
"146","917441354","1","H0",2
"147","917441354","1","OPDEF",3
"148","917441354","2","CV",4
"149","917441354","2","H0",3
"150","917441354","2","OPDEF",5
"151","917441354","3","OPDEF",3
"152","917441354","5","COMPCV",2
"153","917441354","5","CV",5
"154","917441354","5","Interpret",1
"155","917441354","5","IVTHREAT",1
"156","917441354","5","OPDEF",1
