"student_id","time","attempt","question_id","numRep","currentMistakes","newMistakes","pastMistakes","pRep"
915435469,1,1,"H0",NA,3,3,0,NA
915435469,1,1,"H1",NA,0,0,0,NA
915435469,1,1,"OPDEF",0,2,2,6,0
915435469,2,2,"OPDEF",0,0,0,8,0
915435469,2,1,"CV",0,6,6,1,0
915435469,2,1,"Interpret",NA,2,2,0,NA
915435469,2,1,"Interpret",0,2,2,2,0
915435469,3,3,"OPDEF",0,0,0,8,0
915435469,3,2,"CV",0,3,3,7,0
915435469,3,1,"CONFOUND",NA,0,0,0,NA
915435469,4,4,"OPDEF",0,0,0,8,0
915435469,4,3,"CV",0,0,0,10,0
915435469,4,1,"COMPCV",0,0,0,2,0
915435469,4,2,"Interpret",0,0,0,2,0
915435469,4,2,"Interpret",0,0,0,4,0
915435469,4,2,"CONFOUND",NA,0,0,0,NA
915435469,4,1,"IVTHREAT",NA,0,0,0,NA
915435469,4,1,"REP",0,0,0,1,0
916063005,1,1,"H0",0,3,3,1,0
916063005,1,1,"H1",0,0,0,1,0
916063005,1,1,"OPDEF",3,7,4,3,1
916063005,2,2,"OPDEF",2,4,2,7,0.285714285714286
916063005,2,1,"CV",0,4,4,2,0
916063005,2,1,"Interpret",0,2,2,1,0
916063005,2,1,"Interpret",0,2,2,2,0
916063005,3,3,"OPDEF",0,0,0,9,0
916063005,3,2,"CV",0,0,0,6,0
916063005,3,1,"CONFOUND",NA,0,0,0,NA
916063005,4,4,"OPDEF",0,0,0,9,0
916063005,4,3,"CV",0,0,0,6,0
916063005,4,1,"COMPCV",0,0,0,1,0
916063005,4,2,"Interpret",0,0,0,3,0
916063005,4,2,"Interpret",0,0,0,4,0
916063005,4,2,"CONFOUND",NA,0,0,0,NA
916063005,4,1,"IVTHREAT",NA,0,0,0,NA
916063005,4,1,"REP",NA,0,0,0,NA
916473734,1,1,"H0",0,3,3,1,0
916473734,1,1,"H1",NA,0,0,0,NA
916473734,1,1,"OPDEF",0,0,0,3,0
916473734,2,2,"OPDEF",0,0,0,3,0
916473734,2,1,"CV",0,0,0,2,0
916473734,2,1,"Interpret",0,0,0,2,0
916473734,2,1,"Interpret",NA,0,0,0,NA
916473734,3,3,"OPDEF",0,0,0,3,0
916473734,3,2,"CV",0,3,3,2,0
916473734,3,1,"CONFOUND",NA,0,0,0,NA
916473734,4,4,"OPDEF",0,0,0,3,0
916473734,4,3,"CV",0,0,0,5,0
