First Name,Last Name,SID,anon_id,Email,Sections,Total Score,Max Points,Status,Submission ID,Submission Time,Lateness (H:M:S),View Count,Submission Count,1: PV OP-Def (10.0 pts),2: PV Type (5.0 pts),3: PV Measure (5.0 pts),4: Claim Type (5.0 pts),5: PV Construct Validity (20.0 pts),6: OV OP-Def (10.0 pts),7: OV Type (5.0 pts),8: OV Measure (5.0 pts),9: OV Construct Vulnerability (floater) (20.0 pts),10: Reliability Measure (10.0 pts),11: H0 Sketch (10.0 pts),12: H1 Directional (10.0 pts),13: Relationship Strength (5.0 pts),14: P-Value (5.0 pts),15: Interpretation (5.0 pts),16: MC 1 (2.0 pts),17: MC 2 (2.0 pts),18: MC 3 (2.0 pts),19: MC 4 (2.0 pts),20: MC 5 (2.0 pts),21: MC 6 (2.0 pts),22: MC 7 (2.0 pts),23: MC 8 (2.0 pts),24: MC 9 (2.0 pts),25: MC 10 (2.0 pts)
redacted,redacted,redacted,590181,redacted,psc-041-001-wq-2023,74,150,Graded,159007069,2/2/2023 13:04,0:00:00,2,1,0.5,5,5,5,10.5,2,5,5,3,0,7.5,10,0,0,3.5,2,0,0,2,2,2,2,0,2,0
redacted,redacted,redacted,158549,redacted,psc-041-002-wq-2023,112,150,Graded,159007070,2/2/2023 13:04,0:00:00,0,1,7,5,5,5,16.5,4,5,0,16,0,10,10,0,5,3.5,2,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,453529,redacted,psc-041-001-wq-2023,134,150,Graded,159007071,2/2/2023 13:04,0:00:00,3,1,9,5,5,5,16.5,10,5,5,20,0,10,10,5,5,3.5,2,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,958843,redacted,psc-041-002-wq-2023,87.75,150,Graded,159007072,2/2/2023 13:04,0:00:00,2,1,6.5,0,5,5,9,8,5,5,6,3,5,10,0,0,4.25,2,2,2,0,2,2,2,2,2,0
redacted,redacted,redacted,402997,redacted,psc-041-001-wq-2023,132.5,150,Graded,159007073,2/2/2023 13:04,0:00:00,15,1,5,5,5,5,10,10,5,5,19,10,10,10,5,5,3.5,2,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,361425,redacted,psc-041-001-wq-2023,145.25,150,Graded,159007074,2/2/2023 13:04,0:00:00,2,1,9,5,5,5,18,10,5,5,20,9,10,10,5,5,4.25,2,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,832756,redacted,psc-041-001-wq-2023,123,150,Graded,159007075,2/2/2023 13:04,0:00:00,1,1,6,5,5,5,16.5,10,5,5,19,0,10,10,0,5,3.5,2,2,2,0,2,2,2,2,2,2
redacted,redacted,redacted,920816,redacted,psc-041-002-wq-2023,109,150,Graded,159007076,2/2/2023 13:04,0:00:00,0,1,9,5,5,5,10,7,5,5,20,0,7.5,10,0,0,2.5,0,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,282874,redacted,psc-041-002-wq-2023,145,150,Graded,159007077,2/2/2023 13:04,0:00:00,3,1,9.5,5,5,5,18,10,5,5,19,10,10,10,5,5,3.5,2,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,883903,redacted,psc-041-002-wq-2023,116.25,150,Graded,159007078,2/2/2023 13:04,0:00:00,7,1,3.5,5,0,0,11,8,5,5,19,10,10,10,5,5,1.75,2,2,2,2,2,2,2,2,2,0
redacted,redacted,redacted,209254,redacted,psc-041-001-wq-2023,90.5,150,Graded,159007079,2/2/2023 13:04,0:00:00,0,1,3,5,0,5,15,5,5,5,20,0,0,10,0,0,3.5,0,2,2,2,2,2,0,2,2,0
redacted,redacted,redacted,151246,redacted,psc-041-001-wq-2023,129.75,150,Graded,159007080,2/2/2023 13:04,0:00:00,4,1,5.5,5,5,5,18,7,5,5,17,5,10,10,5,5,4.25,0,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,582644,redacted,psc-041-001-wq-2023,133.25,150,Graded,159007081,2/2/2023 13:04,0:00:00,2,1,6,5,5,5,18,10,5,5,20,0,10,10,5,5,4.25,2,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,893307,redacted,psc-041-002-wq-2023,146.5,150,Graded,159007082,2/2/2023 13:04,0:00:00,3,1,9,5,5,5,20,10,5,5,20,9,10,10,5,5,3.5,2,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,690064,redacted,psc-041-001-wq-2023,62.75,150,Graded,159007083,2/2/2023 13:04,0:00:00,6,1,0,5,0,0,0,0,5,5,18,5,10,0,0,5,1.75,0,0,2,2,2,0,2,0,0,0
redacted,redacted,redacted,617396,redacted,psc-041-002-wq-2023,141.5,150,Graded,159007084,2/2/2023 13:04,0:00:00,2,1,8.5,5,5,5,17,10,5,5,20,7.5,10,10,5,5,3.5,2,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,244223,redacted,psc-041-001-wq-2023,143,150,Graded,159007085,2/2/2023 13:04,0:00:00,5,1,8.5,5,5,5,18,8,5,5,20,10,10,10,5,5,3.5,2,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,316657,redacted,psc-041-001-wq-2023,117.25,150,Graded,159007086,2/2/2023 13:04,0:00:00,12,1,10,5,5,5,6,8,5,5,18,0,10,10,5,5,4.25,2,2,2,2,2,2,2,0,2,0
redacted,redacted,redacted,607016,redacted,psc-041-002-wq-2023,103.5,150,Graded,159007087,2/2/2023 13:04,0:00:00,0,1,7,5,5,5,4,10,5,5,11,0,5,10,5,5,3.5,2,2,2,0,2,2,2,2,2,2
